name,description,content,product_category_id,images
Inductive Couple Plasma,"<em>Inductive Couple Plasma </em>(ICP) merupakan instrumen analitik yang digunakan untuk mendeteksi senyawa-senyawa logam dengan pembakaran menggunakan plasma.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.03-006","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Agilent 700 Series ICP OES</li>
\n 	<li>Gas control terdiri dari:
\n<ul>
\n 	<li>Plasma gas 0–22.5 L/min in 1.5 L/min increments</li>
\n 	<li><em>Auxiliary</em> gas 0–2.25 L/min in 0.75 L/min increments</li>
\n</ul>
\n</li>
\n 	<li>CCD <em>Detector </em>dengan panjang gelombang 167-785 nm detektor dipasang pada perangkat Peltier triple-tahap dan didinginkan sampai -35°C.</li>
\n 	<li><em>Water Cooler</em> berfungsi untuk mendinginkan</li>
\n 	<li><em>Autosampler</em> merupakan pengambil sampel secara otomatis untuk memasukkan sampel secara otomatis ke dalam <em>inlet</em>. Kapasitas sampai tiga rak sampel dan dua rak standar.</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/09/DSC04198.jpg, https://polarlabsen.link/wp-content/uploads/2022/09/DSC04201.jpg, https://polarlabsen.link/wp-content/uploads/2022/09/DSC04204.jpg, https://polarlabsen.link/wp-content/uploads/2022/09/DSC04202.jpg, https://polarlabsen.link/wp-content/uploads/2022/09/Hasil.png"
High Performance Liquid Chromatography (HPLC) Analitik,"<em>High Performance Liquid Chromatography</em> (HPLC) berfungsi untuk menentukan atau mengukur atau menganalisa kadar bahan aktif pada suatu sampel. <em>High Performance Liquid Chromatography</em> (HPLC) pada umumnya digunakan untuk memisahkan sejumlah senyawa organik, anorganik maupun senyawa biologis, analisis ketidakmurnian, analisis senyawa-senyawa tidak mudah menguap, penentuan molekul-molekul netral, ionik maupun zwitter ion.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.01-018","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Waters</li>
\n 	<li>Tipe: S-1500-Deries</li>
\n 	<li>Solvent Reservoir berfungsi untuk menampung fase gerak yang akan dialirkan ke dalam kolom dengan bantuan pompa.</li>
\n 	<li>Detektor <em>photodiode-array</em> (PDA) yang dapat memberikan kumpulan kromatogram secara simultan pada panjang gelombang yang berbeda dalam sekali proses <em>(single-run)</em> dan diperoleh spectrum UV tiap puncak yang terpisah.</li>
\n 	<li>Detektor Fluoresensi merupakan detektor spesifik yang mengandung senyawa yang dapat menyerap sinar UV atau visibel lalu mengemisikannya pada panjang gelombang yang lebih besar.</li>
\n 	<li>Detektor Indeks Bias merupakan detektor yang bersifat universal yang mampu memberikan respon pada setiap zat terlarut. Detektor ini akan merespon setiap perbedaan indeks bias antara zat terlarut dengan fase geraknya.</li>
\n 	<li>Pompa berfungsi untuk memberikan tekanan yang diperlukan untuk menggerakkan fase gerak dan analit melalui kolom.</li>
\n 	<li>Injector merupakan tempat masuknya sampel ke dalam sistem HPLC.</li>
\n 	<li><em>Column</em> merupakan fase diam untuk berlangsungnya proses pemisahan komponen sampel.</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/10/DSC04056.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04066.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04072.jpg"
High Performance Liquid Chromatography (HPLC) Analitik B,"<em>High Performance Liquid Chromatography</em> (HPLC) berfungsi untuk menentukan atau mengukur atau menganalisa kadar bahan aktif pada suatu sampel. <em>High Performance Liquid Chromatography</em> (HPLC) pada umumnya digunakan untuk memisahkan sejumlah senyawa organik, anorganik maupun senyawa biologis, analisis ketidakmurnian, analisis senyawa-senyawa tidak mudah menguap, penentuan molekul-molekul netral, ionik maupun zwitter ion.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.01-017.A
\n
\nLS/IK/AK.01-017.B","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Waters Aliance</li>
\n 	<li>Series: e2695</li>
\n 	<li>Solvent Reservoir berfungsi untuk menampung fase gerak yang akan dialirkan ke dalam kolom dengan bantuan pompa.</li>
\n 	<li>Degasser berfungsi untuk menghilangkan gas pada sampel yang akan dianalisis.</li>
\n 	<li>Detektor UV-Vis berfungsi untuk mendeteksi keberadaan komponen yang telah melewati kolom dan memberikan sinyal elektronik pada pengolah data, karakteristik yang dibaca oleh detektor ini adalah absorbansinya.</li>
\n 	<li>Pompa berfungsi untuk memberikan tekanan yang diperlukan untuk menggerakkan fase gerak dan analit melalui kolom.</li>
\n 	<li>AutoInjector merupakan tempat masuknya sampel ke dalam sistem HPLC.</li>
\n 	<li><em>Column</em> merupakan fase diam untuk berlangsungnya proses pemisahan komponen sampel.</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/10/DSC04081.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04094.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04098.jpg"
Scanning Electron Microscope (SEM) Tabletop Microscope,"<em>Tabletop Microscope </em>HITACHI TM3000 berfungsi untuk mengetahui informasi-informasi mengenai topografi, morfologi dan komposisi sampel. <em>Tabletop Microscope </em>HITACHI TM3000 digunakan untuk spesimen berukuran normal.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.01-014","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Hitachi</li>
\n 	<li>Tipe: TM3000</li>
\n 	<li><em>Magnification </em>: 15 to 30.000x (digital zoom 2x, 4x)</li>
\n 	<li>Kondisi pengamatan : 5kV/15kV/<em>Analysis</em></li>
\n 	<li>Mode pengamatan : standard mode, charge up reduction mode</li>
\n 	<li>Mode gambar : COMPO/Shadow 1/ Shadow2/TOPO</li>
\n 	<li>Sample stage traverse : X:±17,5mm Y: ±17,5mm</li>
\n 	<li>Maksimum ukuran sampel : 70mm dalam diameter</li>
\n 	<li>Maksimum tinggi sampel : 50mm</li>
\n 	<li><em>Electron gun</em> : <em>pre-centered cartridge filament</em></li>
\n 	<li>Sistem deteksi sinyal : sensitivitas tinggi semikonduktor BSE detektor</li>
\n 	<li>Fungsi <em>auto image adjustment</em>: auto start, auto focus, auto brightness/contrast</li>
\n 	<li><em>Operation help function : raster rotation, magnification preset (two steps) image shift</em> (±50um @D*=4.5)</li>
\n 	<li>Rangka memori : 640x480 pixels, 1.280 x 960 pixels</li>
\n 	<li>Memori data gambar : HDD dari PC dan media penghapusan lainnya</li>
\n 	<li>Format gambar : BMP, TIFF, JPEG</li>
\n 	<li>Tampilan data : penanda mikron, nilai mikron, tanggal dan waktu, nomor gambar dan komentar, mode gambar, kondisi pengamatan, D*(<em>distance</em>), mode pengamatan</li>
\n 	<li><em>Evacuation system</em> (pompa vakum) :</li>
\n 	<li>Pompa turbomolekular : 30l/s x 1 unit,</li>
\n 	<li>Pompa diafragma: 1m3/h x 1unit</li>
\n</ul>
\nKeamanan perangkat :fungsi proteksi arus, ELCB",1,"https://polarlabsen.link/wp-content/uploads/2022/10/DSC04101.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04103.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04104.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/TM-3000.jpg"
Ultra Performance Liquid Chromatpgraphy (UPLC),"<em>Ultra Performance High Chromatography</em> (UPLC) berfungsi untuk memisahkan komponen-komponen dari suatu campuran senyawa kimia dengan akurasi dan limit deteksi yang tinggi. <em>Ultra Performance High Chromatography</em> (UPLC) pada umumnya digunakan untuk memisahkan campuran ke dalam komponen-komponen murninya dan menganalisis campuran senyawa biomolekul atau senyawa bioaktif dalam bidang kimia, biokimia, kimia organik bahan alam hayati, biologi, farmasi, kedokteran, teknologi pertanian (<em>agrotechnology</em>), bioteknologi, dan ilmu pangan (<em>life sciences</em>).
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.01-009","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Waters</li>
\n 	<li>Tipe: H-Class System</li>
\n 	<li>Detektor FLR berfugsi untuk mengukur tingkat rendahnya fluoresensi yang dipancarkan oleh sampel.</li>
\n 	<li>Detektor PDAmerupakan detektor spektrofotometri UV-Vis yang berfungsi untuk mendeteksi adanya komponen yang keluar dari column dari rentang panjang gelombang 190-800 nm.</li>
\n 	<li>Pompa <em>Quaternary Solvent Manager</em> (QSM) berfungsi untuk memberikan tekanan yang diperlukan untuk menggerakkan fasa gerak dan analit melalui kolom.</li>
\n 	<li><em>Sample manager </em>FTN berfungsi untuk menginjeksi sampel</li>
\n 	<li><em>Column heater</em></li>
\n 	<li><em>Column manager </em>merupakan tempat untuk menyimpan kolom yang digunakan untuk memproses sampel.</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/10/DSC04126.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04129.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04131.jpg"
Atomic Absorption Spectophotometer (AAS),"<em>Atomic Absorption Spectophotometer</em> atau Spektrofotometer Serapan Atom (AAS) digunakan untuk menganalisis unsur secara kuantitatif yang pengukurannya berdasarkan penyerapan cahaya dengan panjang gelombang tertentu oleh atom logam dalam keadaan bebas. Spektrofotometer Serapan Atom digunakan untuk menganalisis unsur-unsur logam.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.03-010","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Perkin Elmer</li>
\n 	<li>Tipe: 400 Perkin Elmer</li>
\n 	<li>Echelle monokromator dengan panjang gelombang 189-900 nm</li>
\n 	<li>Detektor dengan efisiensi tinggi tersegmentasi detektor solid-state.</li>
\n 	<li>Sumber cahaya katoda berongga atau lampu discharge electrodeless (EDLs).</li>
\n 	<li><em>E-box</em></li>
\n 	<li>Kontrol Gas dan Sistem Burner</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/10/DSC04209.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04212.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/DSC04213.jpg, https://polarlabsen.link/wp-content/uploads/2022/10/Untitled.png"
High Performance Liquid Chromatography (HPLC) Preparative,"<em>HPLC preparative </em>berfungsi untuk memisahkan molekul berdasarkan perbedaan afinitasnya terhadap zat padat tertentu dimana <em>HPLC preparative</em> sangat membantu nantinya untuk pemisahan dan pengumpulan kembali apa yang telah dipisahkan. <em>HPLC preparative </em>digunakan untuk memisahkan beberapa senyawa sekaligus baik berdasarkan waktu, volume atau puncak spektrum.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.02-019","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Agilent</li>
\n 	<li>Tipe: SD1</li>
\n 	<li>Dua <em>pump</em> yang berfungsi untuk mendorong fase gerak dengan tekanan yang tinggi.</li>
\n 	<li>Detector UV dual waveleght mode dengan panjang gelombang dari 190nm – 700nm</li>
\n 	<li><em>Fraction Collector</em> berfungsi untuk menghimpun seluruh sampel berdasarkan waktu, volume atau puncak spektrum pada segala jenis tabung atau bejana yang sesuai.</li>
\n 	<li>Kolom yang digunakan berupa C18 merupakan fase terbalik bersifat non polar</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/11/DSC04885.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04886-copy.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04888-copy.jpg"
Spectrophotometer Fluorescence,"<em>Spectrophotometer fluorescence </em>berfungsi menganalisis <em>fluorescence</em> dari atom sampel menggunakan berkas cahaya yang akan menyebabkan eksitasi pada sampel dan kemudian diemisi. <em>Spectrophotometer fluorescence</em> ini digunakan menganalisis senyawa-senyawa yang ber<em>fluorescence.</em>
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\nLS/IK/AK.01-007","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Agilent</li>
\n 	<li>Sumber lampu berupa Xenon dengan <em>pulse width</em> 2-3 µs</li>
\n 	<li>Detektor berupa <em>Photomultiplier </em></li>
\n 	<li>Monokromator terdiri dari 2 yaitu monokromatror eksitasi dan emisi dengan rentang panjang gelombang 190-900 nm.</li>
\n 	<li><em>Sample holder</em> terdiri dari 2 yaitu <em>liquid sample holder</em> dan <em>solid sample holder</em></li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/11/DSC04892.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04894-copy.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04895-copy.jpg"
Spectrophotometer UV-Vis,"Spektrofotometer UV-VIS Lambdaberfungsi untuk mengukur transmitansi, reflektansi dan absorbsi dari cuplikan sebagai fungsi dari panjang gelombang serta untuk pengukuran serapan cahaya di daerah ultraviolet (200-400 nm) dan sinar tampak (400-800 nm) oleh suatu senyawa. Spektrofotometer UV-Vis Lambda pada umumnya digunakan untuk:
\n<ul>
\n 	<li>Menentukan jenis kromofor, ikatan rangkap yang terkonyugasi dan ausokrom dari suatu senyawa organik.</li>
\n 	<li>Menjelaskan informasi dari struktur berdasarkan panjang gelombang maksimum suatu senyawa.</li>
\n 	<li>Mampu menganalisis senyawa organik secara kuantitatif dengan menggunakan hukum  Lambert-Beer</li>
\n</ul>
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Perkin Elmer</li>
\n 	<li>Tipe: Lambda 35</li>
\n 	<li><em>Type instrument </em>Spektofotometer UV-VIS merupakan <em>double beam</em></li>
\n 	<li><em>Single Cell Holder</em> , 9 <em>Cell Changers</em>, dan 13 <em>Cell Changers</em></li>
\n 	<li>Detektor UV-VIS<em>Photodiodes</em>dengan panjang gelombang 190-1000nm</li>
\n 	<li>Lampu Halogen dan Deuterium</li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/11/DSC04900.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04901-copy.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04903-copy.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/Hasil.png"
Fourier-transform Infrared (FTIR),"Nicolet Summit FTIR Spectrofotometer berfungsi untuk mengetahui ikatan kimia dalam suatu sampel, kemurnian serta kontaminasi sampel. Nicolet Summit FTIR dapat digunakan pada sampel padat maupun cairan.
\n
\nHanya untuk penggunaan dalam lingkungan Laboratorium Sentral.
\n
\n&nbsp;","<strong>Spesifikasi</strong>
\n<ul>
\n 	<li>Merk: Thermo Scientific</li>
\n 	<li>Tipe: Nicolet Summit</li>
\n 	<li>Nicolet Summit FTIR Spectrophotometer menggunakan KBr/Ge mid-infrared optimized</li>
\n 	<li>Detektornya menggunakan Lithium Tantalate (LiTaO<sub>3</sub>)</li>
\n 	<li>Nicolet Summit FTIR Spectrophotometer memiliki dimensi 32 x 34 x 24 cm</li>
\n 	<li>Nicolet Summit FTIR Spectrophotometer dilengkapi dengan Everest Diamond ATR; iD ATR</li>
\n 	<li>Nicolet Summit FTIR Spectrophotometer memiliki jangkauan spectra 8000 hingga 350 cm<sup>-1</sup></li>
\n</ul>",1,"https://polarlabsen.link/wp-content/uploads/2022/11/DSC04896.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04897-copy.jpg, https://polarlabsen.link/wp-content/uploads/2022/11/DSC04898-copy.jpg"
